title,slug,content,External Link,Background Colour,Tag,Company,open_source
Neptune.ai,neptune-ai,MLOps platform focused on experiment tracking and model monitoring.,https://neptune.ai/,#B2EBF2,step7,neptune,no
Azure Machine Learning,azure-machine-learning-2,"<p>Full-stack, end-to-end ML platform.</p><p>Requires account</p>",https://azure.microsoft.com/en-us/products/machine-learning/?hl=en,#B3E0FF,step6,azure,no
Fiddler,fiddler,Focus on explainable AI monitoring and analytics.,https://www.fiddler.ai/,#BBDEFB,step7,fiddler,no
Google Model Garden,google-cloud,"Discover, customize, and deploy a wide variety of models from Google and their partners. ",https://cloud.google.com/model-garden?hl=en,#C6E6D2,step2,google,no
Google Colab,google-colab,Jupyter Notebooks in steroids and access to GPUs. No free tier.,https://colab.research.google.com/,#C6E6D2,step3,google,yes
Google Vertex AI,google-vertex-ai,Full-stack tool for managing models. No public way to share said models.,https://cloud.google.com/vertex-ai?hl=en,#C6E6D2,step4,google,hybrid
WhyLabs,whylabs,AI observability platform with data quality monitoring.,https://whylabs.ai/,#C8E6C9,step7,whylabs,no
Lambda Labs Demos,lambda-labs-demos,Build with Gradio using your existing repository URL in just a few clicks,https://lambdalabs.com/blog/lambda-demos-simplifying-ml-demo-hosting?srsltid=AfmBOoqs7qZH3r-M62IlK_3xHFwSjZJD_satBKOzbzxlYO3QwTVJgb7x,#D1C4E9,step5,lambda_labs,no
Inferless,inferless,<p>End-to-End Model Deployment.</p><p>Serverless.</p>,https://inferless.com/,#D7CCC8,step6,inferless,no
Azure Machine Learning,azure-machine-learning,Fully managed AI platform. Requires Azure account to browse. Less transparent than Hugging Face.,https://azure.microsoft.com/en-us/products/machine-learning/?hl=en,#DCEDC8,step4,azure,no
AWS SageMaker,aws-sagemaker,<p>End-to-End Model Deployment.</p>,https://aws.amazon.com/sagemaker/?nc=sn&loc=4,#E0D6FF,step6,aws,no
AWS SageMaker JumpStart,aws-sagemaker-jumpstart,"<p>If you're using AWS, SageMaker offers a wide range of pre-trained models.</p><p>Requires AWS account to access.</p><p>Less transparent than Hugging Face.</p>",https://aws.amazon.com/sagemaker/?nc=sn&loc=4,#E0D6FF,step4,aws,no
DataRobot,datarobot,Fully managed AI platform to collaborate in private.,https://www.datarobot.com/,#E0F7FA,step4,datarobot,no
Jupyter Voilà,jupyter-voila,Turn Jupyter notebooks into standalone web applications.,https://voila.readthedocs.io/,#E1BEE7,step5,jupyter,yes
Kaggle,kaggle,"Open datasets. Explore, analyze, and share quality data.",https://www.kaggle.com/datasets,#E1F5FE,step1,google,no
